"U.S. House margins of victory, 2022",,,,,,,,
District,Votes cast,Winner,Winner votes,Runner-up,Runner-up votes,Margin,Margin (%),Status
Massachusetts' 2nd Congressional District,"195,576",Democratic PartyJim McGovern,"131,436",Republican PartyJeffrey Sossa-Paquette,"64,140","67,296",34.41%,Incumbent D
Massachusetts' 3rd Congressional District,"200,252",Democratic PartyLori Trahan,"124,775",Republican PartyDean Tran,"75,477","49,298",24.62%,Incumbent D
Massachusetts' 4th Congressional District,"208,279",Democratic PartyJake Auchincloss,"201,882",- -,-,-,-,Incumbent D
Massachusetts' 5th Congressional District,"130,933",Democratic PartyKatherine Clark,"98,705",Republican PartyCaroline Colarusso,"32,228","66,477",50.77%,Incumbent D
Massachusetts' 6th Congressional District,"265,449",Democratic PartySeth Moulton,"166,199",Republican PartyRobert May Jr.,"94,184","72,015",27.13%,Incumbent D
Massachusetts' 7th Congressional District,"171,086",Democratic PartyAyanna Pressley,"145,276",Republican PartyDonnie Palmer,"25,810","119,466",69.83%,Incumbent D
Massachusetts' 8th Congressional District,"195,555",Democratic PartyStephen Lynch,"136,086",Republican PartyRobert Burke,"59,469","76,617",39.18%,Incumbent D
Massachusetts' 9th Congressional District,"308,409",Democratic PartyBill Keating,"183,860",Republican PartyJesse Brown,"124,549","59,311",19.23%,Incumbent D
Michigan's 1st Congressional District,"332,035",Republican PartyJack Bergman,"201,353",Democratic PartyBob Lorinser,"121,933","79,420",23.92%,Incumbent R
Michigan's 10th Congressional District,"326,234",Republican PartyJohn James,"159,203",Democratic PartyCarl Marlinga,"157,602","1,601",0.49%,Open
Michigan's 11th Congressional District,"360,631",Democratic PartyHaley Stevens,"220,364",Republican PartyMark Ambrose,"140,267","80,097",22.21%,Incumbent D
Michigan's 12th Congressional District,"163,433",Democratic PartyRashida Tlaib,"114,557",Republican PartySteven Elliott,"43,946","70,611",43.20%,Incumbent D
Michigan's 13th Congressional District,"233,888",Democratic PartyShri Thanedar,"166,203",Republican PartyMartell Bivings,"56,111","110,092",47.07%,Open
Michigan's 2nd Congressional District,"242,951",Republican PartyJohn Moolenaar,"155,635",Democratic PartyJerry Hilliard,"82,344","73,291",30.17%,Incumbent R
Michigan's 3rd Congressional District,"339,340",Democratic PartyHillary Scholten,"186,109",Republican PartyJohn Gibbs,"142,321","43,788",12.90%,Open
Michigan's 4th Congressional District,"274,226",Republican PartyBill Huizenga,"157,251",Democratic PartyJoseph Alfonso,"107,928","49,323",17.99%,Incumbent R
Michigan's 5th Congressional District,"247,003",Republican PartyTim Walberg,"155,262",Democratic PartyBart Goldberg,"85,200","70,062",28.36%,Incumbent R
Michigan's 6th Congressional District,"240,884",Democratic PartyDebbie Dingell,"152,697",Republican PartyWhittney Williams,"88,187","64,510",26.78%,Incumbent D
Michigan's 7th Congressional District,"369,228",Democratic PartyElissa Slotkin,"190,284",Republican PartyTom Barrett,"171,723","18,561",5.03%,Incumbent D
Michigan's 8th Congressional District,"335,778",Democratic PartyDan Kildee,"178,277",Republican PartyPaul Junge,"143,815","34,462",10.26%,Incumbent D
Michigan's 9th Congressional District,"257,882",Republican PartyLisa McClain,"167,177",Democratic PartyBrian Steven Jaye,"82,876","84,301",32.69%,Incumbent R
Minnesota's 1st Congressional District,"296,573",Republican PartyBrad Finstad,"159,658",Democratic PartyJeff Ettinger,"125,577","34,081",11.49%,Incumbent R
Minnesota's 2nd Congressional District,"307,609",Democratic PartyAngie Craig,"156,543",Republican PartyTyler Kistner,"140,845","15,698",5.10%,Incumbent D
Minnesota's 3rd Congressional District,"333,596",Democratic PartyDean Phillips,"198,818",Republican PartyTom Weiler,"134,778","64,040",19.20%,Incumbent D
Minnesota's 4th Congressional District,"295,545",Democratic PartyBetty McCollum,"200,052",Republican PartyMay Lor Xiong,"95,493","104,559",35.38%,Incumbent D
Minnesota's 5th Congressional District,"284,888",Democratic PartyIlhan Omar,"214,199",Republican PartyCicely Davis,"70,689","143,510",50.37%,Incumbent D
Minnesota's 6th Congressional District,"318,991",Republican PartyTom Emmer,"198,144",Democratic PartyJeanne Hendricks,"120,847","77,297",24.23%,Incumbent R
Minnesota's 7th Congressional District,"280,777",Republican PartyMichelle Fischbach,"188,217",Democratic PartyJill Abahsain,"77,494","110,723",39.43%,Incumbent R
Minnesota's 8th Congressional District,"273,033",Republican PartyPete Stauber,"153,859",Democratic PartyJennifer Schultz,"119,174","34,685",12.70%,Incumbent R
Mississippi's 1st Congressional District,"133,900",Republican PartyTrent Kelly,"95,537",Democratic PartyDianne Black,"38,363","57,174",42.70%,Incumbent R
Mississippi's 2nd Congressional District,"132,655",Democratic PartyBennie Thompson,"78,620",Republican PartyBrian Flowers,"54,035","24,585",18.53%,Incumbent D
Mississippi's 3rd Congressional District,"171,833",Republican PartyMichael Guest,"122,108",Democratic PartyShuwaski Young,"49,725","72,383",42.12%,Incumbent R
Mississippi's 4th Congressional District,"164,836",Republican PartyMike Ezell,"122,128",Democratic PartyJohnny DuPree,"39,292","82,836",50.25%,Incumbent R
Missouri's 1st Congressional District,"219,780",Democratic PartyCori Bush,"160,042",Republican PartyAndrew Jones,"53,572","106,470",48.44%,Incumbent D
Missouri's 2nd Congressional District,"315,160",Republican PartyAnn Wagner,"173,035",Democratic PartyTrish Gunby,"135,639","37,396",11.87%,Incumbent R
Missouri's 3rd Congressional District,"266,130",Republican PartyBlaine Luetkemeyer,"173,231",Democratic PartyBethany Mann,"92,899","80,332",30.19%,Incumbent R
Missouri's 4th Congressional District,"246,276",Republican PartyMark Alford,"177,845",Democratic PartyJack Truman,"62,575","115,270",46.81%,Incumbent R
Missouri's 5th Congressional District,"199,900",Democratic PartyEmanuel Cleaver,"116,540",Republican PartyJacob Turk,"78,057","38,483",19.25%,Incumbent D
Missouri's 6th Congressional District,"254,862",Republican PartySam Graves,"178,410",Democratic PartyHenry Martin,"70,810","107,600",42.22%,Incumbent R
Missouri's 7th Congressional District,"200,772",Republican PartyEric Burlison,"144,699",Democratic PartyKristen Radaker-Sheafer,"51,419","93,280",46.46%,Open
Missouri's 8th Congressional District,"213,370",Republican PartyJason Smith,"163,344",Democratic PartyRandi McCallian,"45,626","117,718",55.17%,Incumbent R
Montana's 1st Congressional District,"241,864",Republican PartyRyan Zinke,"120,288",Democratic PartyMonica Tranel,"112,271","8,017",3.31%,Open
Montana's 2nd Congressional District,"148,392",Republican PartyMatt Rosendale,"84,508",IndependentGary Buchanan,"32,281","52,227",35.20%,Incumbent R
Nebraska's 1st Congressional District,"211,790",Republican PartyMike Flood,"123,486",Democratic PartyPatty Pansing Brooks,"88,304","35,182",16.61%,Incumbent R
Nebraska's 2nd Congressional District,"204,919",Republican PartyDon Bacon,"106,963",Democratic PartyTony Vargas,"97,956","9,007",4.40%,Incumbent R
Nebraska's 3rd Congressional District,"173,715",Republican PartyAdrian Smith,"135,258",Democratic PartyDavid Else,"28,273","106,985",61.59%,Incumbent R
Nevada's 1st Congressional District,"202,837",Democratic PartyDina Titus,"102,862",Republican PartyMark Robertson,"95,096","7,766",3.83%,Incumbent D
Nevada's 2nd Congressional District,"222,972",Republican PartyMark Amodei,"141,653",Democratic PartyElizabeth Mercedes Krause,"75,961","65,692",29.46%,Incumbent R
Nevada's 3rd Congressional District,"228,560",Democratic PartySusie Lee,"116,603",Republican PartyApril Becker,"111,957","4,646",2.03%,Incumbent D
Nevada's 4th Congressional District,"206,757",Democratic PartySteven Horsford,"106,384",Republican PartySam Peters,"100,373","6,011",2.91%,Incumbent D
New Hampshire's 1st Congressional District,"273,427",Democratic PartyChris Pappas,"146,818",Republican PartyKaroline Leavitt,"126,609","20,209",7.39%,Incumbent D
New Hampshire's 2nd Congressional District,"268,746",Democratic PartyAnnie Kuster,"152,113",Republican PartyRobert Burns,"116,633","35,480",13.20%,Incumbent D
New Jersey's 1st Congressional District,"155,888",Democratic PartyDonald Norcross,"101,396",Republican PartyClaire Gustafson,"51,129","50,267",32.25%,Incumbent D
New Jersey's 10th Congressional District,"54,155",Democratic PartyDonald Payne Jr.,"41,603",Republican PartyDavid Pinckney,"11,249","30,354",56.05%,Incumbent D
New Jersey's 11th Congressional District,"207,155",Democratic PartyMikie Sherrill,"117,515",Republican PartyPaul DeGroot,"87,925","29,590",14.28%,Incumbent D
New Jersey's 12th Congressional District,"150,582",Democratic PartyBonnie Watson Coleman,"90,268",Republican PartyDarius Mayfield,"58,895","31,373",20.83%,Incumbent D
New Jersey's 2nd Congressional District,"208,119",Republican PartyJeff Van Drew,"127,713",Democratic PartyTim Alexander,"78,628","49,085",23.59%,Incumbent R
New Jersey's 3rd Congressional District,"239,890",Democratic PartyAndy Kim,"131,632",Republican PartyBob Healey,"106,080","25,552",10.65%,Incumbent D
New Jersey's 4th Congressional District,"248,619",Republican PartyChris Smith,"167,424",Democratic PartyMatthew Jenkins,"77,165","90,259",36.30%,Incumbent R
New Jersey's 5th Congressional District,"252,290",Democratic PartyJosh Gottheimer,"136,660",Republican PartyFrank Pallotta,"113,229","23,431",9.29%,Incumbent D
New Jersey's 6th Congressional District,"171,317",Democratic PartyFrank Pallone,"97,412",Republican PartySusan Kiley,"71,588","25,824",15.07%,Incumbent D
New Jersey's 7th Congressional District,"292,486",Republican PartyThomas Kean Jr.,"153,082",Democratic PartyTom Malinowski,"139,404","13,678",4.68%,Open
New Jersey's 8th Congressional District,"76,055",Democratic PartyRobert Menendez,"55,398",Republican PartyMarcos Arroyo,"18,447","36,951",48.58%,Open
New Jersey's 9th Congressional District,"32,002",Democratic PartyBill Pascrell,"22,434",Republican PartyBilly Prempeh,"9,123","13,311",41.59%,Incumbent D
New Mexico's 1st Congressional District,"280,671",Democratic PartyMelanie Ann Stansbury,"156,462",Republican PartyMichelle Garcia Holmes,"124,151","32,311",11.51%,Incumbent D
New Mexico's 2nd Congressional District,"192,457",Democratic PartyGabriel Vasquez,"96,870",Republican PartyYvette Herrell,"95,560","1,310",0.68%,Open
New Mexico's 3rd Congressional District,"208,160",Democratic PartyTeresa Leger Fernandez,"117,351",Republican PartyAlexis Martinez Johnson,"90,809","26,542",12.75%,Incumbent D
New York's 1st Congressional District,"310,472",Republican PartyNicholas J. LaLota,"173,275",Democratic PartyBridget Fleming,"136,899","36,376",11.72%,Open
New York's 10th Congressional District,"233,711",Democratic PartyDaniel Goldman,"197,202",Republican PartyBenine Hamdan,"34,646","162,556",69.55%,Open
New York's 11th Congressional District,"204,995",Republican PartyNicole Malliotakis,"124,902",Democratic PartyMax Rose,"80,093","44,809",21.86%,Incumbent R
New York's 12th Congressional District,"228,204",Democratic PartyJerry Nadler,"186,357",Republican PartyMichael Zumbluskas,"41,264","145,093",63.58%,Incumbent D
New York's 13th Congressional District,"110,217",Democratic PartyAdriano Espaillat,"109,014",- -,-,-,-,Incumbent D
New York's 14th Congressional District,"164,933",Democratic PartyAlexandria Ocasio-Cortez,"117,575",Republican PartyTina Forte,"44,240","73,335",44.46%,Incumbent D
New York's 15th Congressional District,"87,875",Democratic PartyRitchie Torres,"72,610",Republican PartyStylo Sapaskis,"15,265","57,345",65.26%,Incumbent D
New York's 16th Congressional District,"195,593",Democratic PartyJamaal Bowman,"125,727",Republican PartyMiriam Levitt Flisser,"69,722","56,005",28.63%,Incumbent D
New York's 17th Congressional District,"278,661",Republican PartyMichael Lawler,"140,883",Democratic PartySean Patrick Maloney,"137,633","3,250",1.17%,Incumbent R
New York's 18th Congressional District,"260,987",Democratic PartyPat Ryan,"131,460",Republican PartyColin Schmitt,"129,379","2,081",0.80%,Incumbent D
New York's 19th Congressional District,"279,812",Republican PartyMarc Molinaro,"142,923",Democratic PartyJosh Riley,"136,789","6,134",2.19%,Open
New York's 2nd Congressional District,"244,113",Republican PartyAndrew Garbarino,"148,613",Democratic PartyJackie Gordon,"95,183","53,430",21.89%,Incumbent R
New York's 20th Congressional District,"285,463",Democratic PartyPaul Tonko,"156,355",Republican PartyElizabeth Joy,"128,970","27,385",9.59%,Incumbent D
New York's 21st Congressional District,"274,633",Republican PartyElise Stefanik,"164,054",Democratic PartyMatt Castelli,"110,483","53,571",19.51%,Incumbent D
New York's 22nd Congressional District,"261,751",Republican PartyBrandon Williams,"132,762",Democratic PartyFrancis Conole,"128,837","3,925",1.50%,Open
New York's 23rd Congressional District,"290,883",Republican PartyNick Langworthy,"189,022",Democratic PartyMax Della Pia,"101,643","87,379",30.04%,Open
New York's 24th Congressional District,"269,768",Republican PartyClaudia Tenney,"177,901",Democratic PartySteven Holden,"91,703","86,198",31.95%,Incumbent R
New York's 25th Congressional District,"277,308",Democratic PartyJoseph Morelle,"148,681",Republican PartyLa'Ron Singletary,"128,502","20,179",7.28%,Incumbent D
New York's 26th Congressional District,"239,951",Democratic PartyBrian Higgins,"152,983",Republican PartySteven Sams,"86,822","66,161",27.57%,Incumbent D
New York's 3rd Congressional District,"262,169",Republican PartyGeorge Santos,"142,017",Democratic PartyRobert Zimmerman,"120,060","21,957",8.38%,Open
New York's 4th Congressional District,"265,713",Republican PartyAnthony D'Esposito,"137,899",Democratic PartyLaura Gillen,"127,748","10,151",3.82%,Open
New York's 5th Congressional District,"130,374",Democratic PartyGregory Meeks,"97,981",Republican PartyPaul King,"32,393","65,588",50.31%,Incumbent D
New York's 6th Congressional District,"125,811",Democratic PartyGrace Meng,"79,506",Republican PartyThomas Zmich,"46,188","33,318",26.48%,Incumbent D
New York's 7th Congressional District,"164,544",Democratic PartyNydia Velazquez,"134,066",Republican PartyJuan Pagan,"30,262","103,804",63.09%,Incumbent D
New York's 8th Congressional District,"128,954",Democratic PartyHakeem Jeffries,"93,295",Republican PartyYuri Dashevsky,"35,486","57,809",44.83%,Incumbent D
New York's 9th Congressional District,"135,645",Democratic PartyYvette Clarke,"111,162",Constitution PartyMenachem Raitport,"24,143","87,019",64.15%,Incumbent D
North Carolina's 1st Congressional District,"255,857",Democratic PartyDon Davis,"133,729",Republican PartySandy Smith,"122,128","11,601",4.53%,Open
North Carolina's 10th Congressional District,"266,704",Republican PartyPatrick McHenry,"193,999",Democratic PartyPam Genant,"72,359","121,640",45.61%,Incumbent D
North Carolina's 11th Congressional District,"322,063",Republican PartyChuck Edwards,"173,706",Democratic PartyJasmine Beach-Ferrara,"142,910","30,796",9.56%,Open
North Carolina's 12th Congressional District,"220,939",Democratic PartyAlma Adams,"138,272",Republican PartyTyler Lee,"82,667","55,605",25.17%,Incumbent D
North Carolina's 13th Congressional District,"273,822",Democratic PartyWiley Nickel,"140,531",Republican PartyBo Hines,"133,291","7,240",2.64%,Open
North Carolina's 14th Congressional District,"254,363",Democratic PartyJeff Jackson,"146,193",Republican PartyPat Harrigan,"108,170","38,023",14.95%,Open
North Carolina's 2nd Congressional District,"289,143",Democratic PartyDeborah Ross,"186,303",Republican PartyChristine Villaverde,"102,840","83,463",28.87%,Incumbent D
North Carolina's 3rd Congressional District,"247,193",Republican PartyGreg Murphy,"165,690",Democratic PartyBarbara Gaskins,"81,503","84,187",34.06%,Incumbent D
North Carolina's 4th Congressional District,"287,791",Democratic PartyValerie Foushee,"191,980",Republican PartyCourtney Geels,"95,811","96,169",33.42%,Open
North Carolina's 5th Congressional District,"274,482",Republican PartyVirginia Foxx,"174,094",Democratic PartyKyle Parrish,"100,388","73,706",26.85%,Incumbent D
North Carolina's 6th Congressional District,"256,950",Democratic PartyKathy Manning,"138,104",Republican PartyChristian Castelli,"116,076","22,028",8.57%,Incumbent D
North Carolina's 7th Congressional District,"276,431",Republican PartyDavid Rouzer,"159,882",Democratic PartyCharles Graham,"116,549","43,333",15.68%,Incumbent D
North Carolina's 8th Congressional District,"260,510",Republican PartyDan Bishop,"182,642",Democratic PartyScott Huffman,"77,868","104,774",40.22%,Incumbent D
North Carolina's 9th Congressional District,"230,610",Republican PartyRichard Hudson,"130,762",Democratic PartyBen Clark,"99,848","30,914",13.41%,Incumbent D
North Dakota's At-Large Congressional District,"237,923",Republican PartyKelly Armstrong,"147,984",IndependentCara Mund,"89,379","58,605",24.63%,Incumbent D
Ohio's 1st Congressional District,"288,631",Democratic PartyGreg Landsman,"151,418",Republican PartySteve Chabot,"137,213","14,205",4.92%,Open
Ohio's 10th Congressional District,"260,175",Republican PartyMike Turner,"161,792",Democratic PartyDavid Esrati,"98,383","63,409",24.37%,Incumbent R
Ohio's 11th Congressional District,"193,224",Democratic PartyShontel Brown,"150,685",Republican PartyEric Brewer,"42,539","108,146",55.97%,Incumbent D
Ohio's 12th Congressional District,"262,049",Republican PartyTroy Balderson,"182,158",Democratic PartyAmy Rippel-Elton,"79,891","102,267",39.03%,Incumbent R
Ohio's 13th Congressional District,"277,530",Democratic PartyEmilia Sykes,"145,826",Republican PartyMadison Gesiotto Gilbert,"131,704","14,122",5.09%,Open
Ohio's 14th Congressional District,"291,406",Republican PartyDavid Joyce,"180,251",Democratic PartyMatt Kilboy,"111,155","69,096",23.71%,Incumbent R
Ohio's 15th Congressional District,"230,684",Republican PartyMike Carey,"140,012",Democratic PartyGary Josephson,"90,672","49,340",21.39%,Incumbent R
Ohio's 2nd Congressional District,"252,618",Republican PartyBrad Wenstrup,"188,289",Democratic PartySamantha Meadows,"64,329","123,960",49.07%,Incumbent R
Ohio's 3rd Congressional District,"249,181",Democratic PartyJoyce Beatty,"174,846",Republican PartyLee Stahley,"74,335","100,511",40.34%,Incumbent D
Ohio's 4th Congressional District,"284,042",Republican PartyJim Jordan,"196,898",Democratic PartyTamie Wilson,"87,144","109,754",38.64%,Incumbent R
Ohio's 5th Congressional District,"274,819",Republican PartyBob Latta,"184,205",Democratic PartyCraig Swartz,"90,614","93,591",34.06%,Incumbent R
Ohio's 6th Congressional District,"264,976",Republican PartyBill Johnson,"178,707",Democratic PartyLouis Lyras,"86,269","92,438",34.89%,Incumbent R
Ohio's 7th Congressional District,"297,452",Republican PartyMax Miller,"164,904",Democratic PartyMatthew Diemer,"132,548","32,356",10.88%,Open
Ohio's 8th Congressional District,"226,280",Republican PartyWarren Davidson,"150,944",Democratic PartyVanessa Enoch,"75,336","75,608",33.41%,Incumbent R
Ohio's 9th Congressional District,"229,090",Democratic PartyMarcy Kaptur,"129,489",Republican PartyJ.R. Majewski,"99,601","29,888",13.05%,Incumbent D
Oklahoma's 1st Congressional District,"233,148",Republican PartyKevin Hern,"142,620",Democratic PartyAdam Martin,"80,835","61,785",26.50%,Incumbent R
Oklahoma's 2nd Congressional District,"231,459",Republican PartyJosh Brecheen,"167,687",Democratic PartyNaomi Andrews,"54,149","113,538",49.05%,Open
Oklahoma's 3rd Congressional District,"197,622",Republican PartyFrank Lucas,"147,302",Democratic PartyJeremiah Ross,"50,320","96,982",49.07%,Incumbent R
Oklahoma's 4th Congressional District,"224,375",Republican PartyTom Cole,"149,777",Democratic PartyMary Brannon,"74,598","75,179",33.51%,Incumbent R
Oklahoma's 5th Congressional District,"258,594",Republican PartyStephanie Bice,"152,567",Democratic PartyJoshua Harris-Till,"96,709","55,858",21.60%,Incumbent R
Oregon's 1st Congressional District,"195,182",Democratic PartySuzanne Bonamici,"130,790",Republican PartyChristopher Mann,"64,052","66,738",34.19%,Incumbent D
Oregon's 2nd Congressional District,"234,977",Republican PartyCliff Bentz,"155,811",Democratic PartyJoseph Yetter,"78,824","76,987",32.76%,Incumbent R
Oregon's 3rd Congressional District,"180,690",Democratic PartyEarl Blumenauer,"125,759",Republican PartyJoanna Harbour,"49,022","76,737",42.47%,Incumbent D
Oregon's 4th Congressional District,"322,520",Democratic PartyVal Hoyle,"164,410",Republican PartyAlek Skarlatos,"138,544","25,866",8.02%,Open
Oregon's 5th Congressional District,"316,361",Republican PartyLori Chavez-DeRemer,"161,780",Democratic PartyJamie McLeod-Skinner,"154,581","7,199",2.28%,Open
Oregon's 6th Congressional District,"266,190",Democratic PartyAndrea Salinas,"132,536",Republican PartyMike Erickson,"127,132","5,404",2.03%,Open
Pennsylvania's 1st Congressional District,"347,951",Republican PartyBrian Fitzpatrick,"194,741",Democratic PartyAshley Ehasz,"153,210","41,531",11.94%,
Pennsylvania's 10th Congressional District,"311,287",Republican PartyScott Perry,"168,163",Democratic PartyShamaine Daniels,"143,124","25,039",8.04%,
Pennsylvania's 11th Congressional District,"303,444",Republican PartyLloyd Smucker,"190,533",Democratic PartyBob Hollister,"112,911","77,622",25.58%,
Pennsylvania's 12th Congressional District,"320,790",Democratic PartySummer Lee,"178,799",Republican PartyMike Doyle,"141,991","36,808",11.47%,
Pennsylvania's 13th Congressional District,"213,088",Republican PartyJohn Joyce,"213,088",- -,-,-,-,
Pennsylvania's 14th Congressional District,"156,653",Republican PartyGuy Reschenthaler,"156,653",- -,-,-,-,
Pennsylvania's 15th Congressional District,"290,189",Republican PartyGlenn Thompson,"204,256",Democratic PartyMichael Molesevich,"85,933","118,323",40.77%,
Pennsylvania's 16th Congressional District,"298,629",Republican PartyMike Kelly,"184,105",Democratic PartyDan Pastore,"114,524","69,581",23.30%,
Pennsylvania's 17th Congressional District,"355,672",Democratic PartyChristopher Deluzio,"189,192",Republican PartyJeremy Shaffer,"166,480","22,712",6.39%,
Pennsylvania's 2nd Congressional District,"113,192",Democratic PartyBrendan Boyle,"81,741",Republican PartyAaron Bashir,"31,451","50,290",44.43%,
Pennsylvania's 3rd Congressional District,"175,435",Democratic PartyDwight Evans,"167,599",Constitution PartyChristopher Hoeppner,"7,836","159,763",91.07%,
Pennsylvania's 4th Congressional District,"361,915",Democratic PartyMadeleine Dean,"220,707",Republican PartyChristian Nascimento,"141,208","79,499",21.97%,
Pennsylvania's 5th Congressional District,"300,115",Democratic PartyMary Gay Scanlon,"193,036",Republican PartyDavid Galluch,"107,079","85,957",28.64%,
Pennsylvania's 6th Congressional District,"300,011",Democratic PartyChrissy Houlahan,"168,866",Republican PartyGuy Ciarrocchi,"131,145","37,721",12.57%,
Pennsylvania's 7th Congressional District,"294,463",Democratic PartySusan Wild,"149,588",Republican PartyLisa Scheller,"144,875","4,713",1.60%,
Pennsylvania's 8th Congressional District,"282,492",Democratic PartyMatt Cartwright,"144,547",Republican PartyJim Bognet,"137,945","6,602",2.34%,
Pennsylvania's 9th Congressional District,"296,361",Republican PartyDan Meuser,"206,346",Democratic PartyAmanda Waldman,"90,015","116,331",39.25%,
Rhode Island's 1st Congressional District,"153,109",Democratic PartyDavid Cicilline,"97,638",Republican PartyAllen Waters,"55,471","42,167",27.54%,
Rhode Island's 2nd Congressional District,"197,782",Democratic PartySeth Magaziner,"99,369",Republican PartyAllan Fung,"92,868","6,501",3.29%,
South Carolina's 1st Congressional District,"271,601",Republican PartyNancy Mace,"153,164",Democratic PartyAnnie Andrews,"115,316","37,848",13.94%,
South Carolina's 2nd Congressional District,"194,073",Republican PartyJoe Wilson,"115,362",Democratic PartyJudd Larkins,"78,711","36,651",18.89%,
South Carolina's 3rd Congressional District,"141,954",Republican PartyJeff Duncan,"138,656",-,-,-,-,
South Carolina's 4th Congressional District,"182,365",Republican PartyWilliam Timmons,"165,607",IndependentLee Turner,"16,758","148,849",81.62%,
South Carolina's 5th Congressional District,"210,217",Republican PartyRalph Norman,"135,685",Democratic PartyEvangeline Hundley,"71,469","64,216",30.55%,
South Carolina's 6th Congressional District,"188,253",Democratic PartyJim Clyburn,"115,744",Republican PartyDuke Buckner,"72,509","43,235",22.97%,
South Carolina's 7th Congressional District,"168,109",Republican PartyRussell Fry,"107,060",Democratic PartyDaryl Scott,"61,049","46,011",27.37%,
South Dakota's At-Large Congressional District,"167,123",Republican PartyDusty Johnson,"131,451",Libertarian PartyCollin Duprel,"35,672","95,779",57.31%,
Tennessee's 1st Congressional District,"187,896",Republican PartyDiana Harshbarger,"147,153",Democratic PartyCameron Parsons,"37,032","110,121",58.61%,
Tennessee's 2nd Congressional District,"207,678",Republican PartyTim Burchett,"141,041",Democratic PartyMark Harmon,"66,637","74,404",35.83%,
Tennessee's 3rd Congressional District,"199,005",Republican PartyChuck Fleischmann,"135,934",Democratic PartyMeg Gorman,"60,230","75,704",38.04%,
Tennessee's 4th Congressional District,"173,348",Republican PartyScott DesJarlais,"122,336",Democratic PartyWayne Steele,"44,628","77,708",44.83%,
Tennessee's 5th Congressional District,"219,034",Republican PartyAndy Ogles,"123,358",Democratic PartyHeidi Campbell,"93,355","30,003",13.70%,
Tennessee's 6th Congressional District,"194,909",Republican PartyJohn Rose,"129,311",Democratic PartyRandal Cooper,"65,598","63,713",32.69%,
Tennessee's 7th Congressional District,"180,678",Republican PartyMark Green,"108,358",Democratic PartyOdessa Kelly,"68,897","39,461",21.84%,
Tennessee's 8th Congressional District,"210,250",Republican PartyDavid Kustoff,"155,556",Democratic PartyLynnette Williams,"51,083","104,473",49.69%,
Tennessee's 9th Congressional District,"133,859",Democratic PartySteve Cohen,"93,755",Republican PartyCharlotte Bergmann,"35,112","58,643",43.81%,
Texas' 1st Congressional District,"227,630",Republican PartyNathaniel Moran,"177,753",Democratic PartyJrmar Jefferson,"49,877","127,876",56.18%,
Texas' 10th Congressional District,"237,666",Republican PartyMichael McCaul,"151,364",Democratic PartyLinda Nuno,"80,720","70,644",29.72%,
Texas' 11th Congressional District,"85,816",Republican PartyAugust Pfluger,"85,816",- -,-,-,-,
Texas' 12th Congressional District,"214,666",Republican PartyKay Granger,"134,882",Democratic PartyTrey Hunt,"79,784","55,098",25.67%,
Texas' 13th Congressional District,"213,982",Republican PartyRonny Jackson,"161,299",Democratic PartyKathleen Brown,"52,683","108,616",50.76%,
Texas' 14th Congressional District,"191,734",Republican PartyRandy Weber,"131,895",Democratic PartyMikal Williams,"59,839","72,056",37.58%,
Texas' 15th Congressional District,"151,590",Republican PartyMonica De La Cruz,"80,869",Democratic PartyMichelle Vallejo,"67,913","12,956",8.55%,
Texas' 16th Congressional District,"120,292",Democratic PartyVeronica Escobar,"76,946",Republican PartyIrene Armendariz-Jackson,"43,346","33,600",27.93%,
Texas' 17th Congressional District,"200,834",Republican PartyPete Sessions,"134,808",Democratic PartyMary Jo Woods,"66,026","68,782",34.25%,
Texas' 18th Congressional District,"105,799",Democratic PartySheila Jackson Lee,"76,358",Republican PartyCarmen Maria Montiel,"26,447","49,911",47.18%,
Texas' 19th Congressional District,"164,406",Republican PartyJodey Arrington,"133,769",IndependentNathan Lewis,"30,637","103,132",62.73%,
Texas' 2nd Congressional District,"167,624",Republican PartyDaniel Crenshaw,"111,544",Democratic PartyRobin Fulford,"56,080","55,464",33.09%,
Texas' 20th Congressional District,"137,456",Democratic PartyJoaquin Castro,"95,518",Republican PartyKyle Sinclair,"41,932","53,586",38.98%,
Texas' 21st Congressional District,"305,375",Republican PartyChip Roy,"190,776",Democratic PartyClaudia Zapata,"114,599","76,177",24.95%,
Texas' 22nd Congressional District,"240,712",Republican PartyTroy Nehls,"149,716",Democratic PartyJamie Jordan,"85,396","64,320",26.72%,
Texas' 23rd Congressional District,"178,574",Republican PartyTony Gonzales,"100,373",Democratic PartyJohn Lira,"69,806","30,567",17.12%,
Texas' 24th Congressional District,"269,796",Republican PartyBeth Van Duyne,"161,493",Democratic PartyJan McDowell,"108,303","53,190",19.71%,
Texas' 25th Congressional District,"104,292",Republican PartyRoger Williams,"104,292",-,-,-,-,
Texas' 26th Congressional District,"261,983",Republican PartyMichael Burgess,"181,562",Libertarian PartyMike Kolls,"80,421","101,141",38.61%,
Texas' 27th Congressional District,"195,537",Republican PartyMichael Cloud,"126,863",Democratic PartyMaclovio Perez Jr.,"68,674","58,189",29.76%,
Texas' 28th Congressional District,"139,585",Democratic PartyHenry Cuellar,"80,716",Republican PartyCassy Garcia,"58,869","21,847",15.65%,
Texas' 29th Congressional District,"64,580",Democratic PartySylvia Garcia,"46,343",Republican PartyRobert Schafranek,"18,237","28,106",43.52%,
Texas' 3rd Congressional District,"229,218",Republican PartyKeith Self,"138,025",Democratic PartySandeep Srivastava,"85,656","52,369",22.85%,
